seed_id,seed_title,target_severity_label,ambulatory_profile_mean_1_4,context_realism_mean_1_4,symptom_plausibility_mean_1_4,clarity_mean_1_4,information_sufficiency_mean_1_4,anti_stereotypy_mean_1_4,research_usefulness_mean_1_4,ambulatory_profile_support_3_4,context_realism_support_3_4,symptom_plausibility_support_3_4,clarity_support_3_4,information_sufficiency_support_3_4,anti_stereotypy_support_3_4,research_usefulness_support_3_4,overall_mean_1_4,overall_support_3_4,target_match_share,n_comments,modal_severity_label,severity_follow_up_flag
4,Muž s vysokou pracovnou záťažou,skôr stredná,3.0,3.1666666666666665,3.1666666666666665,3.0,2.5,2.6666666666666665,3.0,0.6666666666666666,1.0,1.0,0.8333333333333334,0.5,0.6666666666666666,0.8333333333333334,2.9284999999999997,0.5,1.0,3,skôr stredná,False
2,Mladý muž so smennou prácou,skôr stredná,2.8333333333333335,3.0,3.1666666666666665,3.1666666666666665,2.8333333333333335,2.6666666666666665,3.1666666666666665,0.6666666666666666,0.8333333333333334,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,2.9760000000000004,0.5,0.8333333333333334,5,skôr stredná,False
1,Mladá žena s pracovno-študijným preťažením,skôr stredná,3.1666666666666665,3.1666666666666665,3.1666666666666665,3.0,2.5,2.8333333333333335,3.0,0.8333333333333334,0.8333333333333334,1.0,0.8333333333333334,0.3333333333333333,0.8333333333333334,0.8333333333333334,2.9763333333333333,0.5,0.8333333333333334,5,skôr stredná,False
5,Rozvedená žena s finančným tlakom,skôr stredná,3.3333333333333335,3.3333333333333335,3.1666666666666665,3.0,2.6666666666666665,2.6666666666666665,2.8333333333333335,1.0,1.0,1.0,0.8333333333333334,0.5,0.6666666666666666,0.8333333333333334,3.0,0.5,0.3333333333333333,3,skôr stredne ťažká,True
6,Muž s dlhou pracovnou záťažou,skôr stredná,3.1666666666666665,3.3333333333333335,3.0,3.0,2.6666666666666665,2.6666666666666665,3.3333333333333335,0.8333333333333334,1.0,0.8333333333333334,0.8333333333333334,0.5,0.6666666666666666,1.0,3.0238333333333336,0.5,0.8333333333333334,2,skôr stredná,False
12,Muž s vysokou zodpovednosťou a utlmeným prežívaním,skôr stredná,3.3333333333333335,3.1666666666666665,3.1666666666666665,3.1666666666666665,2.6666666666666665,2.6666666666666665,3.1666666666666665,1.0,0.8333333333333334,1.0,0.8333333333333334,0.5,0.6666666666666666,0.8333333333333334,3.0476666666666667,0.5,0.8333333333333334,0,skôr stredná,False
3,Žena v strednom veku s caregiving záťažou,skôr stredne ťažká,3.1666666666666665,3.3333333333333335,3.3333333333333335,3.0,2.8333333333333335,3.0,3.0,0.8333333333333334,0.8333333333333334,1.0,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.6666666666666666,3.095166666666667,0.6666666666666666,0.6666666666666666,1,skôr stredne ťažká,False
9,Výkonovo zaťažená žena s rumináciami,skôr stredná,3.3333333333333335,3.3333333333333335,3.1666666666666665,3.0,2.8333333333333335,3.0,3.1666666666666665,1.0,0.8333333333333334,1.0,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.8333333333333334,3.1189999999999998,0.5,0.5,2,skôr stredne ťažká,False
8,Starší muž po strate rutiny,skôr mierna,3.1666666666666665,3.3333333333333335,3.1666666666666665,3.1666666666666665,2.8333333333333335,2.8333333333333335,3.3333333333333335,0.8333333333333334,0.8333333333333334,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,3.1191666666666666,0.5,0.3333333333333333,3,skôr stredne ťažká,True
10,"Muž s rutinou, stagnáciou a pasívnym A9",skôr stredná,3.3333333333333335,3.3333333333333335,3.0,3.1666666666666665,3.1666666666666665,2.8333333333333335,3.1666666666666665,1.0,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.8333333333333334,3.142666666666667,0.6666666666666666,0.0,2,skôr stredne ťažká,True
7,Staršia vdova so stratou rytmu,skôr stredná,3.1666666666666665,3.3333333333333335,3.1666666666666665,3.3333333333333335,3.1666666666666665,3.0,3.1666666666666665,0.8333333333333334,1.0,0.8333333333333334,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,3.1905,0.6666666666666666,0.5,1,skôr stredne ťažká,False
11,Žena s nízkym príjmom a sociálnym stiahnutím,skôr stredná,3.3333333333333335,3.3333333333333335,3.0,3.1666666666666665,3.3333333333333335,3.0,3.3333333333333335,1.0,1.0,0.8333333333333334,0.8333333333333334,1.0,0.8333333333333334,1.0,3.214166666666667,0.6666666666666666,0.8333333333333334,1,skôr stredná,False
